,user,text,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
100,elonmusk,@KoguanLeo Noted,5313,497,2022-10-13,noted,0.0,0.0
101,elonmusk,@FedorovMykhailo Starlink data usage growth in Ukraine https://t.co/c4IWNwKwLR,5851,555,2022-10-13,starlink data usage growth ukraine,0.0,0.0
102,elonmusk,@RobLockwood @JeffBezos https://t.co/1EwWyqvwkr,5226,385,2022-10-13,,0.0,0.0
103,elonmusk,"20,000!!",196489,10280,2022-10-13,20 000,0.0,0.0
104,elonmusk,@RGVaerialphotos Cool,6490,199,2022-10-13,cool,0.35,0.65
105,elonmusk,@ByeonChansoo @garyblack00 Maybe with .3,1607,67,2022-10-13,maybe with 3,0.0,0.0
106,elonmusk,This is real,95236,3613,2022-10-13,this is real,0.2,0.30000000000000004
107,elonmusk,https://t.co/WLVh5zBiO5,301948,19470,2022-10-13,,0.0,0.0
108,elonmusk,"@Teslarati @JohnnaCrider1 🎯 “My opinion is Burnt Hair is just Elon saying, chill out, have a laugh, and share a laugh.”",15568,943,2022-10-12,my opinion is burnt hair is just elon saying chill out have laugh share laugh,0.3,0.1
109,elonmusk,@WholeMarsBlog Oh the irony 🤣🤣,13928,441,2022-10-12,oh irony,0.0,0.0
110,elonmusk,"We might need a different name, as this is basically just Starlink with roaming capability, so you can take your terminal anywhere. https://t.co/gnH0YPPVOS",26123,1980,2022-10-12,we might need different name as this is basically just starlink with roaming capability so you can take your terminal anywhere,0.0,0.6
111,elonmusk,@teslaownersSV The counter-intuitive thing is that it’s actually gonna be a sick product!,16040,473,2022-10-12,counter intuitive thing is that it s actually gonna be sick product,-0.35714285714285715,0.47857142857142854
112,elonmusk,"Please buy my perfume, so I can buy Twitter",581467,43145,2022-10-12,please buy my perfume so i can buy twitter,0.0,0.0
113,elonmusk,And right on cue 🤣🤣 … https://t.co/RysKrHeJfi,32529,1932,2022-10-12,right cue,0.2857142857142857,0.5357142857142857
114,elonmusk,@FedorovMykhailo You’re most welcome. Glad to support Ukraine.,54975,2111,2022-10-12,you re most welcome glad support ukraine,0.6,0.7999999999999999
115,elonmusk,Doesn’t get more lit than this!,27553,1313,2022-10-12,doesn t get more lit than this,0.5,0.5
116,elonmusk,BE the change you want in the world!,36959,3368,2022-10-12,be change you want world,0.0,0.0
117,elonmusk,Can’t wait for media stories tomorrow about $1M of Burnt Hair sold 🤣,53159,2431,2022-10-12,can t wait media stories tomorrow about 1m burnt hair sold,0.0,0.0
118,elonmusk,"10,000 bottles of Burnt Hair sold!",79531,3958,2022-10-12,10 000 bottles burnt hair sold,0.0,0.0
119,elonmusk,@Kristennetten 💯🎯,5014,213,2022-10-12,,0.0,0.0
120,elonmusk,Over 5000 bottles of Burnt Hair sold!,66693,4322,2022-10-12,over 5000 bottles burnt hair sold,0.0,0.0
121,elonmusk,An omnigender product,23152,942,2022-10-11,omnigender product,0.0,0.0
122,elonmusk,https://t.co/WDtHXqgUPx,238402,29579,2022-10-11,,0.0,0.0
123,elonmusk,"With a name like mine, getting into the fragrance business was inevitable – why did I even fight it for so long!?",231643,13135,2022-10-11,with name like mine getting into fragrance business was inevitable why did i even fight it so long,-0.025,0.7
124,elonmusk,And you can pay with Doge!,37391,2678,2022-10-11,you can pay with doge,0.0,0.0
125,elonmusk,"The finest fragrance on Earth!
https://t.co/ohjWxNX5ZC https://t.co/0J1lmREOBS",126326,12458,2022-10-11,finest fragrance earth,0.0,0.0
126,elonmusk,@ianbremmer Nobody should trust Bremmer,131426,7435,2022-10-11,nobody should trust bremmer,0.0,0.0
127,elonmusk,Maybe one day we can finally achieve https://t.co/jKBu2wJIDA,154217,10787,2022-10-11,maybe one day we can finally achieve,0.0,1.0
